model,task,fit_type,r2,rmse,saturation_tokens,asymptote,ftest_F,ftest_p,ftest_significant,sat_median,sat_ci_lower,sat_ci_upper,bootstrap_fit_rate
llama-3.1-8b,qa,logarithmic,0.2907105845270427,0.014906232450473473,42.8,0.91967914687805,0.8197234533189688,0.5030914749019695,False,42.75,42.05,43.6,1.0
llama-3.1-8b,summarization,sigmoid,0.16121995879987128,0.008091736346031284,104.3,0.9466666704363582,0.19220767171474099,0.8955838786694509,False,104.3,100.6,107.65125,1.0
llama-3.1-8b,classification,sigmoid,0.866475626297974,0.02473928311925373,75.27417417417416,0.9623160562381577,6.489269354160068,0.0794288972533706,False,74.84394394394394,70.66746746746747,84.0691629129129,1.0
llama-3.1-8b,instruction_following,sigmoid,0.9290732182601855,0.00818317118341695,111.69999999999999,0.8525000003755341,13.099046586779691,0.031376214537033494,True,118.26176176176176,49.75,313.75161911911914,1.0
llama-3.1-8b,math_reasoning,sigmoid,0.12487051562828755,0.07909102246600566,81.2934934934935,0.9236402821606953,0.14268804543585528,0.9279622170785439,False,82.23043043043043,63.24875,260.22888888888883,1.0
llama-3.1-8b,product_extraction,sigmoid,0.7204910834205411,0.015618212841154855,233.5856856856857,0.8649999996694892,2.5777033957903095,0.22864681019628696,False,236.68656156156158,80.74625,587.8620495495495,1.0
gemini-flash,qa,sigmoid,0.4035950262036312,0.013911410001573636,7.9,0.9031250144877299,0.6767130455579183,0.6219817951509281,False,7.95,7.1,39.37917792792793,1.0
gemini-flash,summarization,sigmoid,0.7599543491410047,0.0032735796460544864,69.25,0.9550000356584603,3.1658742677550435,0.18459901188022396,False,69.3,65.34875,333.17262762762755,1.0
gemini-flash,classification,sigmoid,0.935589787568861,0.00982178385309629,41.62962962962963,0.9274981125936826,14.525488307760229,0.027208583242975155,True,42.296671671671675,29.14875,147.14519019019016,1.0
gemini-flash,instruction_following,logarithmic,0.06691010316171186,0.008889713238733655,15.35,0.7863890014484387,0.1434161989931135,0.8706567555816872,False,15.3,14.3,16.7,1.0
gemini-flash,math_reasoning,sigmoid,0.20468594283329167,0.12008917816641575,50.91691691691692,0.9675873089495468,0.2573649252000922,0.8528276489623566,False,52.20073757968494,48.03811267149503,127.96010108061273,1.0
gemini-flash,product_extraction,sigmoid,0.8297161435665862,0.022385370634255778,471.24845898530106,1.0765502128828546,4.872547292179928,0.11299859629454795,False,448.03749802434015,211.2608117327854,537.6848518255097,1.0
qwen3-32b,qa,logarithmic,0.6903036043003423,0.00840415011903884,19.85,0.9350378247655315,4.45793760525257,0.09591185750935897,False,19.8,19.1,20.75,1.0
qwen3-32b,summarization,sigmoid,0.10569852106304933,0.005570169297600824,83.1,0.9525000000154625,0.1181911509178005,0.9435482168919769,False,83.1,79.0,88.41,1.0
qwen3-32b,classification,logarithmic,0.7527236435835652,0.01963380190020095,164.02702702702703,1.0417538314322519,6.088116587385439,0.061145596442587685,False,106.02264764764766,40.99993243243243,355.20270270270265,1.0
qwen3-32b,instruction_following,sigmoid,0.4652777450219169,0.007237468866232847,27.4,0.7991666667022779,0.8701297555699966,0.5441741884920526,False,27.4,26.39875,28.35,1.0
qwen3-32b,math_reasoning,sigmoid,0.21670761244479764,0.13003432153618016,62.56966966966967,0.9626849320225035,0.27666247736835714,0.8403442702995246,False,62.622422422422424,59.42867867867868,155.12665165165157,1.0
qwen3-32b,product_extraction,logarithmic,0.9300816481332342,0.017446395120646073,377.8507507507508,1.031802862645965,26.60479325672805,0.004888575927764865,True,373.51561561561556,117.59288038038038,505.9580105105105,1.0
llama-3.3-70b,qa,logarithmic,0.06471034656504604,0.013269611633996294,42.8,0.9289667658446934,0.13837498645984195,0.8747667358224763,False,42.8,42.05,43.7,1.0
llama-3.3-70b,summarization,logarithmic,0.290498641443093,0.004737447658992967,104.3,0.949831092647258,0.8188811421981035,0.5033921777940966,False,104.3,100.6,107.70125,1.0
llama-3.3-70b,classification,sigmoid,0.9569971444916584,0.0034611222011956605,64.1,0.9416709618968647,22.25426970322989,0.014942086235315366,True,64.64454454454454,62.85,71.95745745745745,1.0
llama-3.3-70b,instruction_following,logarithmic,0.3792365193864321,0.00464076418109694,50.3,0.7843455697127655,1.2218390135050843,0.3853472988634714,False,50.25,49.3,51.25,1.0
llama-3.3-70b,math_reasoning,sigmoid,0.2818839459647944,0.10794180365697623,83.76486486486488,0.9870640746200192,0.3925325779598502,0.7686356054794683,False,84.2918918918919,80.81219594594594,304.30011386386366,1.0
llama-3.3-70b,product_extraction,sigmoid,0.9426004666756487,0.00681411201058027,91.96406406406408,0.832378174821939,16.421744430381235,0.022939712509758438,True,95.11028528528529,82.9227077077077,312.01780780780774,1.0
kimi-k2,qa,logarithmic,0.0967323092235669,0.012916191864324992,33.85,0.9106132542870867,0.21418303834252614,0.81589252120059,False,33.8,33.1,34.70125,1.0
kimi-k2,summarization,logarithmic,0.6644460088136522,0.0049565457511543684,94.75,0.9746970416341882,3.960292687710315,0.11259648100108756,False,94.75,90.95,98.30125,1.0
kimi-k2,classification,sigmoid,0.9547238594873266,0.013906194668348448,57.33108108108108,0.9250187671901906,21.086688235276746,0.016131113516365245,True,57.48198198198198,55.34904904904905,236.70847847847847,1.0
kimi-k2,instruction_following,logarithmic,0.027061009985425044,0.0054117879845033065,41.3,0.7901094982177813,0.05562735230709508,0.9466102782905812,False,41.4,40.4,167.03132382382384,1.0
kimi-k2,math_reasoning,sigmoid,0.33874411323483244,0.10129128730490823,73.5902902902903,0.9679209413075321,0.5122738716050644,0.7017003571937068,False,73.40585585585586,70.82719094094095,76.1056493993994,1.0
kimi-k2,product_extraction,logarithmic,0.6954952219331706,0.029984427511633063,342.47667667667673,0.9992817972322279,4.568041436647216,0.09272315986552904,False,354.46611611611615,73.84609109109108,561.4178453453453,1.0
gpt-4o-mini,qa,logarithmic,0.6462164228778855,0.006023360095289233,14.8,0.9265890011158385,3.6531736613360803,0.1251628194413192,False,14.8,14.05,15.65,1.0
gpt-4o-mini,summarization,logarithmic,0.35638716792112846,0.0040722084478631865,76.25,0.9502854417176543,1.1074582424654174,0.4142374776165857,False,76.25,72.54875,80.3025,1.0
gpt-4o-mini,classification,sigmoid,0.9767313020083095,0.00981980504600701,49.61361361361361,0.9475000000593408,41.976190604094455,0.005983453314003659,True,49.7027027027027,46.41621621621622,229.69494744744745,1.0
gpt-4o-mini,instruction_following,logarithmic,0.38631622021557777,0.012851550248667342,22.35,0.7925783912164306,1.2590074332786985,0.37660778157049535,False,22.3,21.35,23.3,1.0
gpt-4o-mini,math_reasoning,sigmoid,0.17837188448183983,0.12482540099902532,54.19864864864865,0.9530646719395708,0.21709564353131888,0.879187722239182,False,55.35302802802803,51.88582957957958,117.0067242242242,1.0
gpt-4o-mini,product_extraction,sigmoid,0.8769493403495525,0.01729235840307353,422.36356356356356,1.0729936633390653,7.126734166567823,0.07051064064821067,False,315.5128128128128,58.26136636636637,525.6552177177177,1.0
claude-haiku,qa,logarithmic,0.6175767210710347,0.010183469316584051,15.35,0.9364988156704651,3.2298071540030326,0.1462475642667812,False,15.3,14.39875,16.401249999999997,1.0
claude-haiku,summarization,logarithmic,0.824393763151656,0.005892204153376571,82.9,0.9742213762786988,9.38911712872264,0.0308375504200367,True,82.95,78.24625,87.25,1.0
claude-haiku,classification,sigmoid,0.6461425563558373,0.011511559488379378,38.5,0.9618745904135104,1.825996790406916,0.3166099589901039,False,39.2,36.95,73.80611111111111,1.0
claude-haiku,instruction_following,logarithmic,0.07115087000139697,0.0075096212597042,23.1,0.8054350719889999,0.15320221057106223,0.8627607062991618,False,23.05,21.99875,24.402499999999996,1.0
claude-haiku,math_reasoning,sigmoid,0.22764696824602737,0.11492531457210299,60.36756756756756,0.9974230457814565,0.29474470726042634,0.8287643951961247,False,60.26226226226226,57.10178678678679,63.67677677677678,1.0
claude-haiku,product_extraction,sigmoid,0.9802437220033889,0.008839860592235991,535.6043043043043,2.765343251041985,49.61682165899565,0.004686144446047254,True,509.05172672672677,233.18379754754756,586.2643130630631,1.0
